district_code,state,pincode,year,month,updates_total,updates_male,updates_female,match_score_avg,match_score_std
1001,StateA,5001,2024,1,8,4,3,0.96,0.02
1002,StateB,5002,2024,2,9,4,4,0.95,0.03
1003,StateC,5003,2024,3,10,5,4,0.94,0.03
1004,StateD,5004,2024,4,11,5,5,0.95,0.02
1005,StateE,5005,2024,5,12,6,5,0.96,0.02
1006,StateA,5006,2024,6,13,6,6,0.95,0.03
1007,StateB,5007,2024,7,14,7,6,0.94,0.03
1008,StateC,5008,2024,8,15,7,7,0.95,0.02
1009,StateD,5009,2024,9,16,8,7,0.96,0.02
1010,StateE,5010,2024,10,17,8,8,0.95,0.03
1011,StateA,5011,2024,11,18,9,8,0.94,0.03
1012,StateB,5012,2024,12,19,9,9,0.95,0.02
1013,StateC,5013,2024,1,20,10,9,0.96,0.02
1014,StateD,5014,2024,2,21,10,10,0.95,0.03
1015,StateE,5015,2024,3,22,11,10,0.94,0.03
1016,StateA,5016,2024,4,23,11,11,0.95,0.02
1017,StateB,5017,2024,5,24,12,11,0.96,0.02
1018,StateC,5018,2024,6,25,12,12,0.95,0.03
1019,StateD,5019,2024,7,26,13,12,0.94,0.03
1020,StateE,5020,2024,8,27,13,13,0.95,0.02
1021,StateA,5021,2024,9,28,14,13,0.96,0.02
1022,StateB,5022,2024,10,29,14,14,0.95,0.03
1023,StateC,5023,2024,11,30,15,14,0.94,0.03
1024,StateD,5024,2024,12,31,15,15,0.95,0.02
1025,StateE,5025,2024,1,6,3,3,0.92,0.05
1026,StateA,5026,2024,2,7,3,4,0.91,0.06
1027,StateB,5027,2024,3,8,4,4,0.93,0.04
1028,StateC,5028,2024,4,9,4,5,0.94,0.03
1029,StateD,5029,2024,5,10,5,5,0.95,0.02
1030,StateE,5030,2024,6,11,5,6,0.94,0.03
1031,StateA,5031,2024,7,12,6,5,0.95,0.02
1032,StateB,5032,2024,8,13,6,6,0.96,0.02
1033,StateC,5033,2024,9,14,7,6,0.95,0.03
1034,StateD,5034,2024,10,15,7,7,0.94,0.03
1035,StateE,5035,2024,11,16,8,7,0.95,0.02
1036,StateA,5036,2024,12,17,8,8,0.96,0.02
1037,StateB,5037,2024,1,18,9,8,0.95,0.03
1038,StateC,5038,2024,2,19,9,9,0.94,0.03
1039,StateD,5039,2024,3,20,10,9,0.95,0.02
1040,StateE,5040,2024,4,21,10,10,0.96,0.02
1041,StateA,5041,2024,5,22,11,10,0.95,0.03
1042,StateB,5042,2024,6,23,11,11,0.94,0.03
1043,StateC,5043,2024,7,24,12,11,0.95,0.02
1044,StateD,5044,2024,8,25,12,12,0.96,0.02
1045,StateE,5045,2024,9,26,13,12,0.95,0.03
1046,StateA,5046,2024,10,27,13,13,0.94,0.03
1047,StateB,5047,2024,11,28,14,13,0.95,0.02
1048,StateC,5048,2024,12,29,14,14,0.96,0.02
1049,StateD,5049,2024,1,30,15,14,0.95,0.03
1050,StateE,5050,2024,2,31,15,15,0.94,0.03
1051,StateA,5051,2024,3,32,16,15,0.95,0.02
1052,StateB,5052,2024,4,33,16,16,0.96,0.02
1053,StateC,5053,2024,5,34,17,16,0.95,0.03
1054,StateD,5054,2024,6,35,17,17,0.94,0.03
1055,StateE,5055,2024,7,36,18,17,0.95,0.02
1056,StateA,5056,2024,8,37,18,18,0.96,0.02
1057,StateB,5057,2024,9,38,19,18,0.95,0.03
1058,StateC,5058,2024,10,39,19,19,0.94,0.03
1059,StateD,5059,2024,11,40,20,19,0.95,0.02
1060,StateE,5060,2024,12,41,20,20,0.96,0.02
1061,StateA,5061,2024,1,42,21,20,0.95,0.03
1062,StateB,5062,2024,2,43,21,21,0.94,0.03
1063,StateC,5063,2024,3,44,22,21,0.95,0.02
1064,StateD,5064,2024,4,45,22,22,0.96,0.02
1065,StateE,5065,2024,5,46,23,22,0.95,0.03
1066,StateA,5066,2024,6,47,23,23,0.94,0.03
1067,StateB,5067,2024,7,48,24,23,0.95,0.02
1068,StateC,5068,2024,8,49,24,24,0.96,0.02
1069,StateD,5069,2024,9,50,25,24,0.95,0.03
1070,StateE,5070,2024,10,51,25,25,0.94,0.03
1071,StateA,5071,2024,11,52,26,25,0.95,0.02
1072,StateB,5072,2024,12,53,26,26,0.96,0.02
1073,StateC,5073,2024,1,54,27,26,0.95,0.03
1074,StateD,5074,2024,2,55,27,27,0.94,0.03
1075,StateE,5075,2024,3,56,28,27,0.95,0.02
1076,StateA,5076,2024,4,57,28,28,0.96,0.02
1077,StateB,5077,2024,5,58,29,28,0.95,0.03
1078,StateC,5078,2024,6,59,29,29,0.94,0.03
1079,StateD,5079,2024,7,60,30,29,0.95,0.02
1080,StateE,5080,2024,8,61,30,30,0.96,0.02
1081,StateA,5081,2024,9,62,31,30,0.95,0.03
1082,StateB,5082,2024,10,63,31,31,0.94,0.03
1083,StateC,5083,2024,11,64,32,31,0.95,0.02
1084,StateD,5084,2024,12,65,32,32,0.96,0.02
1085,StateE,5085,2024,1,66,33,32,0.95,0.03
1086,StateA,5086,2024,2,67,33,33,0.94,0.03
1087,StateB,5087,2024,3,68,34,33,0.95,0.02
1088,StateC,5088,2024,4,69,34,34,0.96,0.02
1089,StateD,5089,2024,5,70,35,34,0.95,0.03
1090,StateE,5090,2024,6,71,35,35,0.94,0.03
1091,StateA,5091,2024,7,72,36,35,0.95,0.02
1092,StateB,5092,2024,8,73,36,36,0.96,0.02
