district_code,state,pincode,year,month,updates_total,updates_male,updates_female,age_0_18,age_19_35,age_36_60,age_60_plus
1001,StateA,5001,2024,1,12,6,5,1,4,5,2
1002,StateB,5002,2024,2,13,6,6,1,5,5,2
1003,StateC,5003,2024,3,14,7,6,1,5,6,2
1004,StateD,5004,2024,4,15,7,7,1,6,6,2
1005,StateE,5005,2024,5,16,8,7,1,6,7,2
1006,StateA,5006,2024,6,17,8,8,1,7,7,2
1007,StateB,5007,2024,7,18,9,8,1,7,8,2
1008,StateC,5008,2024,8,19,9,9,1,8,8,2
1009,StateD,5009,2024,9,20,10,9,1,8,9,2
1010,StateE,5010,2024,10,21,10,10,1,9,9,2
1011,StateA,5011,2024,11,22,11,10,1,9,10,2
1012,StateB,5012,2024,12,23,11,11,1,10,10,2
1013,StateC,5013,2024,1,24,12,11,1,10,11,2
1014,StateD,5014,2024,2,25,12,12,1,11,11,2
1015,StateE,5015,2024,3,26,13,12,1,11,12,2
1016,StateA,5016,2024,4,27,13,13,1,12,12,2
1017,StateB,5017,2024,5,28,14,13,1,12,13,2
1018,StateC,5018,2024,6,29,14,14,1,13,13,2
1019,StateD,5019,2024,7,30,15,14,1,13,14,2
1020,StateE,5020,2024,8,31,15,15,1,14,14,2
1021,StateA,5021,2024,9,32,16,15,1,14,15,2
1022,StateB,5022,2024,10,33,16,16,1,15,15,2
1023,StateC,5023,2024,11,34,17,16,1,15,16,2
1024,StateD,5024,2024,12,35,17,17,1,16,16,2
1025,StateE,5025,2024,1,5,2,2,1,1,2,1
1026,StateA,5026,2024,2,6,3,2,1,2,2,1
1027,StateB,5027,2024,3,7,3,3,1,2,3,1
1028,StateC,5028,2024,4,8,4,3,1,3,3,1
1029,StateD,5029,2024,5,9,4,4,1,3,4,1
1030,StateE,5030,2024,6,10,5,4,1,4,4,1
1031,StateA,5031,2024,7,11,5,5,1,4,5,1
1032,StateB,5032,2024,8,12,6,5,1,5,5,1
1033,StateC,5033,2024,9,13,6,6,1,5,6,1
1034,StateD,5034,2024,10,14,7,6,1,6,6,1
1035,StateE,5035,2024,11,15,7,7,1,6,7,1
1036,StateA,5036,2024,12,16,8,7,1,7,7,1
1037,StateB,5037,2024,1,17,8,8,1,7,8,1
1038,StateC,5038,2024,2,18,9,8,1,8,8,1
1039,StateD,5039,2024,3,19,9,9,1,8,9,1
1040,StateE,5040,2024,4,20,10,9,1,9,9,1
1041,StateA,5041,2024,5,21,10,10,1,9,10,1
1042,StateB,5042,2024,6,22,11,10,1,10,10,1
1043,StateC,5043,2024,7,23,11,11,1,10,11,1
1044,StateD,5044,2024,8,24,12,11,1,11,11,1
1045,StateE,5045,2024,9,25,12,12,1,11,12,1
1046,StateA,5046,2024,10,26,13,12,1,12,12,1
1047,StateB,5047,2024,11,27,13,13,1,12,13,1
1048,StateC,5048,2024,12,28,14,13,1,13,13,1
1049,StateD,5049,2024,1,29,14,14,1,13,14,1
1050,StateE,5050,2024,2,30,15,14,1,14,14,1
1051,StateA,5051,2024,3,31,15,15,1,14,15,1
1052,StateB,5052,2024,4,32,16,15,1,15,15,1
1053,StateC,5053,2024,5,33,16,16,1,15,16,1
1054,StateD,5054,2024,6,34,17,16,1,16,16,1
1055,StateE,5055,2024,7,35,17,17,1,16,17,1
1056,StateA,5056,2024,8,36,18,17,1,17,17,1
1057,StateB,5057,2024,9,37,18,18,1,17,18,1
1058,StateC,5058,2024,10,38,19,18,1,18,18,1
1059,StateD,5059,2024,11,39,19,19,1,18,19,1
1060,StateE,5060,2024,12,40,20,19,1,19,19,1
1061,StateA,5061,2024,1,41,20,20,1,19,20,1
1062,StateB,5062,2024,2,42,21,20,1,20,20,1
1063,StateC,5063,2024,3,43,21,21,1,20,21,1
1064,StateD,5064,2024,4,44,22,21,1,21,21,1
1065,StateE,5065,2024,5,45,22,22,1,21,22,1
1066,StateA,5066,2024,6,46,23,22,1,22,22,1
1067,StateB,5067,2024,7,47,23,23,1,22,23,1
1068,StateC,5068,2024,8,48,24,23,1,23,23,1
1069,StateD,5069,2024,9,49,24,24,1,23,24,1
1070,StateE,5070,2024,10,50,25,24,1,24,24,1
1071,StateA,5071,2024,11,51,25,25,1,24,25,1
1072,StateB,5072,2024,12,52,26,25,1,25,25,1
1073,StateC,5073,2024,1,53,26,26,1,25,26,1
1074,StateD,5074,2024,2,54,27,26,1,26,26,1
1075,StateE,5075,2024,3,55,27,27,1,26,27,1
1076,StateA,5076,2024,4,56,28,27,1,27,27,1
1077,StateB,5077,2024,5,57,28,28,1,27,28,1
1078,StateC,5078,2024,6,58,29,28,1,28,28,1
1079,StateD,5079,2024,7,59,29,29,1,28,29,1
1080,StateE,5080,2024,8,60,30,29,1,29,29,1
1081,StateA,5081,2024,9,61,30,30,1,29,30,1
1082,StateB,5082,2024,10,62,31,30,1,30,30,1
1083,StateC,5083,2024,11,63,31,31,1,30,31,1
1084,StateD,5084,2024,12,64,32,31,1,31,31,1
1085,StateE,5085,2024,1,65,32,32,1,31,32,1
1086,StateA,5086,2024,2,66,33,32,1,32,32,1
1087,StateB,5087,2024,3,67,33,33,1,32,33,1
1088,StateC,5088,2024,4,68,34,33,1,33,33,1
1089,StateD,5089,2024,5,69,34,34,1,33,34,1
1090,StateE,5090,2024,6,70,35,34,1,34,34,1
1091,StateA,5091,2024,7,71,35,35,1,34,35,1
1092,StateB,5092,2024,8,72,36,35,1,35,35,1
1093,StateC,5093,2024,9,73,36,36,1,35,36,1
1094,StateD,5094,2024,10,74,37,36,1,36,36,1
1095,StateE,5095,2024,11,75,37,37,1,36,37,1
1096,StateA,5096,2024,12,76,38,37,1,37,37,1
1097,StateB,5097,2024,1,77,38,38,1,37,38,1
1098,StateC,5098,2024,2,78,39,38,1,38,38,1
1099,StateD,5099,2024,3,79,39,39,1,38,39,1
1100,StateE,5100,2024,4,80,40,39,1,39,39,1
