district_code,state,pincode,year,month,enrolments,male,female,trans,total_population
1001,StateA,5001,2024,1,51,26,24,1,10500
1002,StateB,5002,2024,2,52,26,25,1,10505
1003,StateC,5003,2024,3,53,27,25,1,10510
1004,StateD,5004,2024,4,54,27,26,1,10515
1005,StateE,5005,2024,5,55,28,26,1,10520
1006,StateA,5006,2024,6,56,28,27,1,10525
1007,StateB,5007,2024,7,57,29,27,1,10530
1008,StateC,5008,2024,8,58,29,28,1,10535
1009,StateD,5009,2024,9,59,30,28,1,10540
1010,StateE,5010,2024,10,60,30,29,1,10545
1011,StateA,5011,2024,11,61,31,29,1,10550
1012,StateB,5012,2024,12,62,31,30,1,10555
1013,StateC,5013,2024,1,63,32,30,1,10560
1014,StateD,5014,2024,2,64,32,31,1,10565
1015,StateE,5015,2024,3,65,33,31,1,10570
1016,StateA,5016,2024,4,66,33,32,1,10575
1017,StateB,5017,2024,5,67,34,32,1,10580
1018,StateC,5018,2024,6,68,34,33,1,10585
1019,StateD,5019,2024,7,69,35,33,1,10590
1020,StateE,5020,2024,8,70,35,34,1,10595
1021,StateA,5021,2024,9,71,36,34,1,10600
1022,StateB,5022,2024,10,72,36,35,1,10605
1023,StateC,5023,2024,11,73,37,35,1,10610
1024,StateD,5024,2024,12,74,37,36,1,10615
1025,StateE,5025,2024,1,25,13,11,1,10620
1026,StateA,5026,2024,2,26,13,12,1,10625
1027,StateB,5027,2024,3,27,14,12,1,10630
1028,StateC,5028,2024,4,28,14,13,1,10635
1029,StateD,5029,2024,5,29,15,13,1,10640
1030,StateE,5030,2024,6,30,15,14,1,10645
1031,StateA,5031,2024,7,31,16,14,1,10650
1032,StateB,5032,2024,8,32,16,15,1,10655
1033,StateC,5033,2024,9,33,17,15,1,10660
1034,StateD,5034,2024,10,34,17,16,1,10665
1035,StateE,5035,2024,11,35,18,16,1,10670
1036,StateA,5036,2024,12,36,18,17,1,10675
1037,StateB,5037,2024,1,37,19,17,1,10680
1038,StateC,5038,2024,2,38,19,18,1,10685
1039,StateD,5039,2024,3,39,20,18,1,10690
1040,StateE,5040,2024,4,40,20,19,1,10695
1041,StateA,5041,2024,5,41,21,19,1,10700
1042,StateB,5042,2024,6,42,21,20,1,10705
1043,StateC,5043,2024,7,43,22,20,1,10710
1044,StateD,5044,2024,8,44,22,21,1,10715
1045,StateE,5045,2024,9,45,23,21,1,10720
1046,StateA,5046,2024,10,46,23,22,1,10725
1047,StateB,5047,2024,11,47,24,22,1,10730
1048,StateC,5048,2024,12,48,24,23,1,10735
1049,StateD,5049,2024,1,49,25,23,1,10740
1050,StateE,5050,2024,2,50,25,24,1,10745
1051,StateA,5051,2024,3,51,26,24,1,10750
1052,StateB,5052,2024,4,52,26,25,1,10755
1053,StateC,5053,2024,5,53,27,25,1,10760
1054,StateD,5054,2024,6,54,27,26,1,10765
1055,StateE,5055,2024,7,55,28,26,1,10770
1056,StateA,5056,2024,8,56,28,27,1,10775
1057,StateB,5057,2024,9,57,29,27,1,10780
1058,StateC,5058,2024,10,58,29,28,1,10785
1059,StateD,5059,2024,11,59,30,28,1,10790
1060,StateE,5060,2024,12,60,30,29,1,10795
1061,StateA,5061,2024,1,61,31,29,1,10800
1062,StateB,5062,2024,2,62,31,30,1,10805
1063,StateC,5063,2024,3,63,32,30,1,10810
1064,StateD,5064,2024,4,64,32,31,1,10815
1065,StateE,5065,2024,5,65,33,31,1,10820
1066,StateA,5066,2024,6,66,33,32,1,10825
1067,StateB,5067,2024,7,67,34,32,1,10830
1068,StateC,5068,2024,8,68,34,33,1,10835
1069,StateD,5069,2024,9,69,35,33,1,10840
1070,StateE,5070,2024,10,70,35,34,1,10845
1071,StateA,5071,2024,11,71,36,34,1,10850
1072,StateB,5072,2024,12,72,36,35,1,10855
1073,StateC,5073,2024,1,73,37,35,1,10860
1074,StateD,5074,2024,2,74,37,36,1,10865
1075,StateE,5075,2024,3,75,38,36,1,10870
1076,StateA,5076,2024,4,76,38,37,1,10875
1077,StateB,5077,2024,5,77,39,37,1,10880
1078,StateC,5078,2024,6,78,39,38,1,10885
1079,StateD,5079,2024,7,79,40,38,1,10890
1080,StateE,5080,2024,8,80,40,39,1,10895
1081,StateA,5081,2024,9,81,41,39,1,10900
1082,StateB,5082,2024,10,82,41,40,1,10905
1083,StateC,5083,2024,11,83,42,40,1,10910
1084,StateD,5084,2024,12,84,42,41,1,10915
1085,StateE,5085,2024,1,85,43,41,1,10920
1086,StateA,5086,2024,2,86,43,42,1,10925
1087,StateB,5087,2024,3,87,44,42,1,10930
1088,StateC,5088,2024,4,88,44,43,1,10935
1089,StateD,5089,2024,5,89,45,43,1,10940
1090,StateE,5090,2024,6,90,45,44,1,10945
1091,StateA,5091,2024,7,91,46,44,1,10950
1092,StateB,5092,2024,8,92,46,45,1,10955
1093,StateC,5093,2024,9,93,47,45,1,10960
1094,StateD,5094,2024,10,94,47,46,1,10965
1095,StateE,5095,2024,11,95,48,46,1,10970
1096,StateA,5096,2024,12,96,48,47,1,10975
1097,StateB,5097,2024,1,97,49,47,1,10980
1098,StateC,5098,2024,2,98,49,48,1,10985
1099,StateD,5099,2024,3,99,50,48,1,10990
1100,StateE,5100,2024,4,100,50,49,1,10995
